system,metric,direction,actual_mean,permutation_mean,actual_minus_permutation,favorable_difference,permutation_ci95_low,permutation_ci95_high,one_sided_p
ELF diffusion: lexical-composite winner,Content F1,higher,0.02480654716491699,0.008561328984797001,0.01624521818011999,0.01624521818011999,0.002610722789540887,0.01585203190334141,6.999930000699993e-05
ELF diffusion: lexical-composite winner,Word F1,higher,0.08070836500688032,0.0554315485060215,0.02527681650085882,0.02527681650085882,0.0444484612904489,0.06682517193257809,9.99990000099999e-06
ELF diffusion: lexical-composite winner,WER,lower,1.0327272727272727,1.0384974479675293,-0.005770175240256581,0.005770175240256581,1.031818151473999,1.0445454120635986,0.06489935100648994
ELF diffusion: lexical-composite winner,Raw BERTScore F1,higher,0.8198478698730469,0.8172575831413269,0.002590286731720015,0.002590286731720015,0.8161447018384933,0.8184242263436318,1.999980000199998e-05
ELF diffusion: lexical-composite winner,BLEU-1,higher,0.07672386169433594,0.05266113206744194,0.024062729626894,0.024062729626894,0.04223373932763934,0.06348896343261003,9.99990000099999e-06
ELF diffusion: lexical-composite winner,ROUGE-1 F1,higher,0.08733407800847834,0.05899873375892639,0.028335344249551947,0.028335344249551947,0.047776495944708584,0.07067277040332556,9.99990000099999e-06
ELF diffusion: content specialist,Content F1,higher,0.02860495393926447,0.008539234288036823,0.020065719651227647,0.020065719651227647,0.002610722789540887,0.015653446689248084,9.99990000099999e-06
ELF diffusion: content specialist,Word F1,higher,0.06578430262478915,0.04716992750763893,0.018614375117150223,0.018614375117150223,0.03654084727168083,0.05817318763583898,0.0008799912000879991
ELF diffusion: content specialist,WER,lower,1.0445454545454544,1.0446579456329346,-0.0001124910874801266,0.0001124910874801266,1.0381817817687988,1.0509090423583984,0.5269247307526925
ELF diffusion: content specialist,Raw BERTScore F1,higher,0.8180879072709517,0.815060019493103,0.0030278877778486812,0.0030278877778486812,0.8139583989977837,0.8162251725792885,9.99990000099999e-06
ELF diffusion: content specialist,BLEU-1,higher,0.06188390905206854,0.04458165913820267,0.01730224991386587,0.01730224991386587,0.03451607236638665,0.05501354960724708,0.0009299907000929991
ELF diffusion: content specialist,ROUGE-1 F1,higher,0.07530297366055576,0.050432007759809494,0.024870965900746264,0.024870965900746264,0.03942271647974849,0.061880261357873674,5.999940000599994e-05
ELF diffusion: retrieval specialist,Content F1,higher,0.025524880669333717,0.008938017301261425,0.01658686336807229,0.01658686336807229,0.0027272729203104973,0.016414418863132597,4.999950000499995e-05
ELF diffusion: retrieval specialist,Word F1,higher,0.07233159325339578,0.04908393695950508,0.023247656293890695,0.023247656293890695,0.0382884232327342,0.06049940325319767,4.999950000499995e-05
ELF diffusion: retrieval specialist,WER,lower,1.0463636363636364,1.0489637851715088,-0.0026001488078724044,0.0026001488078724044,1.0427272319793701,1.0545454025268555,0.24680753192468075
ELF diffusion: retrieval specialist,Raw BERTScore F1,higher,0.8189970536665483,0.8157223463058472,0.0032747073607011234,0.0032747073607011234,0.8146239519119263,0.8168744459748268,9.99990000099999e-06
ELF diffusion: retrieval specialist,BLEU-1,higher,0.06870056499134411,0.046164482831954956,0.022536082159389154,0.022536082159389154,0.035993033461272715,0.05690846526995301,2.999970000299997e-05
