run,checkpoint,mode,semantic_scale,confidence_floor,nominal_accuracy,realized_accuracy,paired_source_accuracy,source_word_f1,direct_source_content_f1,direct_source_word_f1,direct_source_word_content_sum,direct_source_wer,mean_confidence,content_f1,word_f1,word_content_sum,wer,well_structured,top1,top5,metrics_path,delta_content_f1_vs_semantic_only,delta_word_f1_vs_semantic_only,delta_word_content_sum_vs_semantic_only,delta_top1_vs_semantic_only,delta_top5_vs_semantic_only,favorable_delta_wer_vs_semantic_only
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_shuffled_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_shuffled,,,0.5,0.4981818199157715,0.006363636363636363,0.030909090909090917,0.007580752580752581,0.030909090909090924,0.03848984348984351,0.9936363636363637,0.5015673637390137,0.021732812641903552,0.06593174314817996,0.0876645557900835,1.018181818181818,0.7804790388249984,0.045454543083906174,0.16363635659217834,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_shuffled_acc0.50_seed49_20260911/best_metrics.json,0.004099511599511604,0.006080527740973896,0.010180039340485503,-0.01818181946873665,0.01818181574344635,-0.012727272727272698
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_unweighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_unweighted,,,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.058946717275594286,0.1395957386932558,0.1985424559688501,0.9363636363636364,0.7665450865072077,0.15454545617103577,0.34545454382896423,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_unweighted_acc0.50_seed49_20260911/best_metrics.json,0.04131341623320234,0.07974452328604975,0.12105793951925209,0.09090909361839294,0.20000000298023224,0.06909090909090898
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,,,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.028820959195290742,0.09568072002521154,0.12450167922050229,0.9763636363636363,0.7723607191536482,0.11818181723356247,0.30909091234207153,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.011187658152898794,0.03582950461800548,0.047017162770904286,0.05454545468091965,0.16363637149333954,0.029090909090909056
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem0001_floor1_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.001,1.0,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.28264427515131146,0.3598929201533737,0.6425371953046852,0.7,0.7560714131547466,0.4272727072238922,0.663636326789856,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem0001_floor1_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.2650109741089195,0.30004170474616765,0.5650526788550873,0.3636363446712494,0.518181785941124,0.3054545454545454
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem001_floor1_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.01,1.0,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.28370615960328877,0.3609775327108384,0.6446836923141271,0.7,0.7554634218497113,0.41818180680274963,0.6545454263687134,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem001_floor1_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.2660728585608968,0.3011263173036323,0.5671991758645292,0.3545454442501068,0.5090908855199814,0.3054545454545454
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem0025_floor1_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.025,1.0,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.2880102382684707,0.3643913763004673,0.652401614568938,0.6827272727272727,0.7556334752041823,0.44545453786849976,0.6545454263687134,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem0025_floor1_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.27037693722607875,0.30454016089326125,0.57491709811934,0.38181817531585693,0.5090908855199814,0.32272727272727264
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem002_floor1_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.02,1.0,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.28671133593241666,0.3646266398850132,0.6513379758174298,0.6845454545454546,0.7551389803447142,0.4363636374473572,0.6727272272109985,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem002_floor1_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.2690780348900247,0.30477542447780714,0.5738534593678318,0.37272727489471436,0.5272726863622665,0.3209090909090908
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem0035_floor1_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.035,1.0,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.28839349669000663,0.3665808117638782,0.6549743084538848,0.6672727272727272,0.7553340491345543,0.4727272689342499,0.6909090876579285,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem0035_floor1_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.27076019564761467,0.30672959635667213,0.5774897920042869,0.40909090638160706,0.5454545468091965,0.33818181818181814
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem003_floor1_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.03,1.0,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.28853094906781934,0.3647149920786285,0.6532459411464479,0.68,0.7558433845428795,0.4636363387107849,0.663636326789856,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem003_floor1_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.2708976480254274,0.30486377667142245,0.5757614246968499,0.3999999761581421,0.518181785941124,0.32545454545454533
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem004_floor1_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.04,1.0,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.2836652135899251,0.36203972944975654,0.6457049430396816,0.6718181818181819,0.7547405377077094,0.48181816935539246,0.6727272272109985,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sem004_floor1_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.2660319125475331,0.3021885140425505,0.5682204265900836,0.41818180680274963,0.5272726863622665,0.3336363636363635
