semantic_scale,confidence_floor,content_f1,word_f1,word_content_sum,wer,top1,top5,run,metrics_path
0.5,0.0,0.02130528562346744,0.0727489415431938,0.09405422716666124,0.9863636363636363,0.06363636255264282,0.19999998807907104,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.0_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.0_acc0.50_seed49_20260912/best_metrics.json
0.5,0.25,0.020478233887324795,0.07276168507760918,0.09323991896493397,0.98,0.05454545468091965,0.19999998807907104,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.25_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.25_acc0.50_seed49_20260912/best_metrics.json
0.5,0.5,0.024565737293010023,0.07859630687761233,0.10316204417062236,0.9818181818181818,0.05454545468091965,0.19999998807907104,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.5_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.5_acc0.50_seed49_20260912/best_metrics.json
0.5,0.75,0.025561408288681014,0.07859226379307391,0.10415367208175492,0.9818181818181818,0.09999999403953552,0.19090908765792847,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.75_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor0.75_acc0.50_seed49_20260912/best_metrics.json
0.5,1.0,0.02602185693094784,0.08094249763121139,0.10696435456215923,0.980909090909091,0.11818181723356247,0.24545453488826752,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor1.0_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem0.5_floor1.0_acc0.50_seed49_20260912/best_metrics.json
1.0,0.0,0.028820959195290742,0.09568072002521154,0.12450167922050229,0.9763636363636363,0.11818181723356247,0.30909091234207153,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.0_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.0_acc0.50_seed49_20260912/best_metrics.json
1.0,0.25,0.030598272790786158,0.09900336791864468,0.12960164070943084,0.9627272727272728,0.145454540848732,0.290909081697464,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.25_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.25_acc0.50_seed49_20260912/best_metrics.json
1.0,0.5,0.036547114501659955,0.1113400920819942,0.14788720658365417,0.9563636363636364,0.17272727191448212,0.30909091234207153,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.5_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.5_acc0.50_seed49_20260912/best_metrics.json
1.0,0.75,0.04429931921910532,0.12163707254686706,0.16593639176597239,0.9481818181818182,0.13636362552642822,0.30909091234207153,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.75_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor0.75_acc0.50_seed49_20260912/best_metrics.json
1.0,1.0,0.058946717275594286,0.1395957386932558,0.1985424559688501,0.9363636363636364,0.15454545617103577,0.34545454382896423,qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor1.0_acc0.50_seed49_20260912,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_weightgrid_lora8_mid_ep40_sem1.0_floor1.0_acc0.50_seed49_20260912/best_metrics.json
