run,checkpoint,mode,nominal_accuracy,realized_accuracy,paired_source_accuracy,source_word_f1,direct_source_content_f1,direct_source_word_f1,direct_source_word_content_sum,direct_source_wer,mean_confidence,content_f1,word_f1,word_content_sum,wer,well_structured,top1,top5,metrics_path,delta_content_f1_vs_semantic_only,delta_word_f1_vs_semantic_only,delta_word_content_sum_vs_semantic_only,delta_top1_vs_semantic_only,delta_top5_vs_semantic_only,favorable_delta_wer_vs_semantic_only
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_shuffled_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_shuffled,0.5,0.4981818199157715,0.006363636363636363,0.030909090909090917,0.007580752580752581,0.030909090909090924,0.03848984348984351,0.9936363636363637,0.5015673637390137,0.021732812641903552,0.06593174314817996,0.0876645557900835,1.018181818181818,0.7804790388249984,0.045454543083906174,0.16363635659217834,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_shuffled_acc0.50_seed49_20260911/best_metrics.json,0.004099511599511604,0.006080527740973896,0.010180039340485503,-0.01818181946873665,0.01818181574344635,-0.012727272727272698
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_unweighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_unweighted,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.058946717275594286,0.1395957386932558,0.1985424559688501,0.9363636363636364,0.7665450865072077,0.15454545617103577,0.34545454382896423,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_unweighted_acc0.50_seed49_20260911/best_metrics.json,0.04131341623320234,0.07974452328604975,0.12105793951925209,0.09090909361839294,0.20000000298023224,0.06909090909090898
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.00_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.0,0.0,0.0,0.005454545454545455,0.004740847387906212,0.005454545454545455,0.010195392842451667,1.000909090909091,0.20342496037483215,0.019669043078133986,0.05900994268766758,0.07867898576580157,1.0063636363636363,0.7703321673649958,0.027272727340459824,0.15454545617103577,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.00_seed49_20260911/best_metrics.json,0.002035742035742038,-0.0008412727195384814,0.0011944693162035669,-0.036363635212183,0.009090915322303772,-0.0009090909090909705
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.25_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.25,0.2309090942144394,0.23090909090909092,0.23727272727272727,0.20860467401066882,0.23727272727272727,0.4458774012833961,0.769090909090909,0.34207984805107117,0.019636709101949743,0.06248539521462588,0.08212210431657563,0.9927272727272727,0.7735750930700426,0.045454543083906174,0.16363635659217834,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.25_seed49_20260911/best_metrics.json,0.0020034080595577944,0.002634179807419819,0.004637587866977627,-0.01818181946873665,0.01818181574344635,0.012727272727272698
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.028820959195290742,0.09568072002521154,0.12450167922050229,0.9763636363636363,0.7723607191536482,0.11818181723356247,0.30909091234207153,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.50_seed49_20260911/best_metrics.json,0.011187658152898794,0.03582950461800548,0.047017162770904286,0.05454545468091965,0.16363637149333954,0.029090909090909056
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.75_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.75,0.7554545402526855,0.7554545454545455,0.7554545454545455,0.7277304038801361,0.7554545454545452,1.4831849493346811,0.24454545454545454,0.6538746953010559,0.04953236157781612,0.13376750642891322,0.18329986800672934,0.9354545454545454,0.7805119132644385,0.1818181723356247,0.37272727489471436,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.75_seed49_20260911/best_metrics.json,0.03189906053542417,0.07391629102170716,0.10581535155713134,0.11818180978298187,0.22727273404598236,0.06999999999999995
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.90_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,0.9,0.8972727060317993,0.8972727272727277,0.8972727272727277,0.8828924907534531,0.8972727272727276,1.7801652180261807,0.10272727272727272,0.7378392815589905,0.05850919727925075,0.14188418444708292,0.20039338172633367,0.9136363636363637,0.7775047277825053,0.2181818187236786,0.4272727072238922,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc0.90_seed49_20260911/best_metrics.json,0.040875896236858805,0.08203296903987686,0.12290886527673567,0.15454545617103577,0.2818181663751602,0.09181818181818169
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc1.00_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,joint_weighted,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.8001672625541687,0.06454182181454908,0.154362226700667,0.21890404851521605,0.9081818181818182,0.7813460632147499,0.2818181812763214,0.48181816935539246,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_joint_weighted_acc1.00_seed49_20260911/best_metrics.json,0.04690852077215713,0.09451101129346093,0.14141953206561805,0.2181818187236786,0.33636362850666046,0.09727272727272718
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_semantic_only_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,semantic_only,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.017633301042391948,0.05985121540720606,0.077484516449598,1.0054545454545454,0.7746667978486158,0.06363636255264282,0.145454540848732,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_semantic_only_acc0.50_seed49_20260911/best_metrics.json,0.0,0.0,0.0,0.0,0.0,0.0
qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sentence_only_acc0.50_seed49_20260911,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_lora8_mid_ep40_seed49_20260911/best.pt,sentence_only,0.5,0.4981818199157715,0.4981818181818181,0.4990909090909091,0.45317216206253613,0.49909090909090903,0.9522630711534452,0.5018181818181818,0.5015673637390137,0.22234114815665618,0.29909112900023216,0.5214322771568883,0.8736363636363637,0.7909201797905007,0.4363636374473572,0.6181818246841431,/data/engs-pnpl/glandau/elf-runs/qc4wyals_elfb_dascoli_eval_lora8_mid_ep40_sentence_only_acc0.50_seed49_20260911/best_metrics.json,0.20470784711426424,0.2392399135930261,0.44394776070729036,0.37272727489471436,0.47272728383541107,0.13181818181818172
