label,generation_csv,num_rows,num_positions,source_correct_positions,source_wrong_positions,generated_exact_position_accuracy,correct_source_position_retention,wrong_source_position_correction,wrong_source_position_copy,mean_generated_word_count
weighted_joint,meg_dascoli_sentence_flow_20260912/joint_weighted.ranked_generations.csv,110,1100,548,552,0.03272727272727273,0.05474452554744526,0.010869565217391304,0.0,9.154545454545454
unweighted_joint,meg_dascoli_sentence_flow_20260912/joint_unweighted.ranked_generations.csv,110,1100,548,552,0.06363636363636363,0.11678832116788321,0.010869565217391304,0.019927536231884056,9.418181818181818
sentence_weighted,meg_dascoli_sentence_flow_20260912/sentence_only.ranked_generations.csv,110,1100,548,552,0.17454545454545456,0.33211678832116787,0.018115942028985508,0.014492753623188406,11.018181818181818
sentence_unweighted,meg_dascoli_sentence_flow_20260912/sentence_only_unweighted_best.ranked_generations.csv,110,1100,548,552,0.33,0.6605839416058394,0.0018115942028985507,0.39311594202898553,10.463636363636363
joint_sem0035,meg_dascoli_sentence_flow_20260912/joint_sem0035_floor1.ranked_generations.csv,110,1100,548,552,0.3372727272727273,0.6751824817518248,0.0018115942028985507,0.38768115942028986,10.081818181818182
